acousticness;analysis_url;danceability;duration_ms;energy;id;instrumentalness;music_key;liveness;loudness;mode;name;speechiness;tempo;time_signature;track_href;type;uri;valence
0.376;https://api.spotify.com/v1/audio-analysis/33W5JLBs144RBOLziaiMOW;0.551;266080;0.412;33W5JLBs144RBOLziaiMOW;0;7;0.0966;-8.224;1;"The Ballad of Mr. Jenkins";0.0292;149.844;4;https://api.spotify.com/v1/tracks/33W5JLBs144RBOLziaiMOW;audio_features;spotify:track:33W5JLBs144RBOLziaiMOW;0.25
0.0661;https://api.spotify.com/v1/audio-analysis/33zbOXJSwW7uf4VXXWow2O;0.585;201263;0.737;33zbOXJSwW7uf4VXXWow2O;0;4;0.0904;-4.121;0;"the ends";0.191;171.853;4;https://api.spotify.com/v1/tracks/33zbOXJSwW7uf4VXXWow2O;audio_features;spotify:track:33zbOXJSwW7uf4VXXWow2O;0.0497
0.0111;https://api.spotify.com/v1/audio-analysis/341lTIxmhybbQsgydwJiFx;0.796;141123;0.683;341lTIxmhybbQsgydwJiFx;0.00000258;10;0.126;-5.165;0;"Stuntin' On You (feat. DaBaby)";0.277;173.852;3;https://api.spotify.com/v1/tracks/341lTIxmhybbQsgydwJiFx;audio_features;spotify:track:341lTIxmhybbQsgydwJiFx;0.737
0.0958;https://api.spotify.com/v1/audio-analysis/349Wc5mDu52d4Uv8Eg9WZv;0.819;173473;0.664;349Wc5mDu52d4Uv8Eg9WZv;0.00000175;7;0.263;-5.612;1;Indigo;0.0828;144.988;4;https://api.spotify.com/v1/tracks/349Wc5mDu52d4Uv8Eg9WZv;audio_features;spotify:track:349Wc5mDu52d4Uv8Eg9WZv;0.71
0.954;https://api.spotify.com/v1/audio-analysis/34a295RioFNNKHqfRi3eVd;0.291;256840;0.172;34a295RioFNNKHqfRi3eVd;0.452;0;0.0941;-17.151;1;"Thank You";0.0344;96.082;4;https://api.spotify.com/v1/tracks/34a295RioFNNKHqfRi3eVd;audio_features;spotify:track:34a295RioFNNKHqfRi3eVd;0.463
0.522;https://api.spotify.com/v1/audio-analysis/34ceTg8ChN5HjrqiIYCn9Q;0.673;232000;0.683;34ceTg8ChN5HjrqiIYCn9Q;0;1;0.235;-5.693;1;"Miss Independent";0.115;171.86;4;https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q;audio_features;spotify:track:34ceTg8ChN5HjrqiIYCn9Q;0.713
0.0954;https://api.spotify.com/v1/audio-analysis/34FElp1G5RZRX3FzslB5jz;0.878;83368;0.636;34FElp1G5RZRX3FzslB5jz;0.271;8;0.0995;-4.526;0;"In a Trance";0.0713;94.993;4;https://api.spotify.com/v1/tracks/34FElp1G5RZRX3FzslB5jz;audio_features;spotify:track:34FElp1G5RZRX3FzslB5jz;0.88
0.474;https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f;0.781;281560;0.445;34gCuhDGsG4bRPIf9bb02f;0;2;0.184;-6.061;1;"Thinking out Loud";0.0295;78.998;4;https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f;audio_features;spotify:track:34gCuhDGsG4bRPIf9bb02f;0.591
0.152;https://api.spotify.com/v1/audio-analysis/34IRT5Nn31mJtKp7Potm0N;0.461;344920;0.59;34IRT5Nn31mJtKp7Potm0N;0.0799;2;0.144;-9.935;1;Casio;0.0334;77.007;4;https://api.spotify.com/v1/tracks/34IRT5Nn31mJtKp7Potm0N;audio_features;spotify:track:34IRT5Nn31mJtKp7Potm0N;0.371
0.411;https://api.spotify.com/v1/audio-analysis/34P33YihJ0pxZ7NdGW25bT;0.798;479747;0.465;34P33YihJ0pxZ7NdGW25bT;0.224;9;0.323;-10.412;0;"Strawberry Bubblegum";0.0981;104.96;4;https://api.spotify.com/v1/tracks/34P33YihJ0pxZ7NdGW25bT;audio_features;spotify:track:34P33YihJ0pxZ7NdGW25bT;0.348
